id,network_id,degree,trial_maker_id,origin_id,participant_id,sung_pitch1,sung_pitch2,sung_pitch3,sung_pitch4,sung_pitch5,sung_note_durations,peter_tonalness,peter_mode,peter_estimated_key,peter_estimated_tonic,pter_tonal.clarity,pter_tonal.spike,daniel_tonalness,daniel_mode,daniel_estimated_key,m21_key,m21_mode,m21_confidence,m21_key_full
5629,187,10,imitation_chain,2139.0,375.0,43.8424189234972,45.7375653588586,52.2523430098852,43.2388842349058,43.8074561643133,"0.364988662131519,0.391043083900227,0.485804988662132,0.364920634920635,0.947800453514739",0.6456296160184711,Minor,G#,8,1.337772328321577,0.2339462608081673,0.6263628779208664,minor,g#,F,minor,0.403656689714464,F minor
6573,187,11,imitation_chain,2595.0,442.0,43.5737869993429,46.2045438399802,51.8280770836894,44.4328067620933,41.807765029791,"0.407006802721089,0.390045351473923,0.427528344671202,0.320022675736961,0.71750566893424",0.5393151580945871,Major,E,4,1.2091599560040485,0.1777844386044511,0.5868574392684451,major,E,C#,minor,0.5213027369480366,C# minor
189,188,1,imitation_chain,188.0,9.0,64.7056616440866,54.8444583555537,60.2025518316429,52.3944753708167,57.5713524598172,"0.686462585034013,0.360657596371882,0.593106575963719,0.301451247165533,1.62927437641723",0.7626343579818262,Major,F,5,1.1291581050532036,0.1712244500795211,0.7873538281905659,major,F,C,major,0.6102667704374697,C major
447,188,2,imitation_chain,297.0,31.0,64.1620527504655,54.3416458300552,58.9608425596695,52.5033890342566,56.6923974944521,"0.732358276643991,0.337981859410431,0.800136054421769,0.290272108843537,0.971768707482993",0.7360270995006682,Major,E,4,1.0984177213949355,0.170999025720389,0.7634903890669343,major,E,E,minor,0.5744502822444568,E minor
3304,188,3,imitation_chain,370.0,220.0,64.167075078048,56.1465790697668,60.0371946092195,53.6754876067544,56.6316081398606,"0.847460317460318,0.403219954648526,0.904444444444445,0.337482993197279,0.995736961451247",0.8582595229997398,Minor,A,9,1.582604410249279,0.2503508413298395,0.8515952393539595,minor,a,E,major,0.4611403815725353,E major
4687,188,4,imitation_chain,1624.0,321.0,50.7317522815867,45.2163890403218,50.8603068177082,46.626581359128,44.0882586459984,"0.772380952380952,0.148027210884354,0.784285714285715,0.248299319727891,1.00421768707483",0.645189315825387,Major,D#,3,1.0068125580548175,0.187637937783596,0.657825787309744,major,D#,G#,minor,0.5689974880255458,G# minor
4971,188,5,imitation_chain,2163.0,341.0,62.798057359705,56.2786802430493,63.0169666123148,57.2124221662775,55.2763909782477,"0.720521541950113,0.164104308390023,0.79687074829932,0.211519274376417,0.636938775510204",0.7400459291370609,Major,D#,3,1.422188808789445,0.2530920694453993,0.7434977669990754,major,D#,E-,major,0.4026451155633458,E- major
4996,188,6,imitation_chain,2266.0,345.0,63.0200867772447,58.4035067978088,62.9985934496058,57.7855349163444,55.9355134085026,"0.720476190476191,0.257755102040816,0.720748299319728,0.269410430839002,0.92609977324263",0.8083621895151272,Major,D#,3,1.1453402809022968,0.1969334760352216,0.8096651237661178,major,D#,E-,minor,0.7102775638248875,E- minor
5169,188,7,imitation_chain,2278.0,355.0,62.4105262277549,58.4564364209268,62.5257591991096,57.7916567291932,55.084087364673,"1.00866213151927,0.453809523809524,1.08925170068027,0.453514739229025,0.810045351473923",0.8109413554008439,Minor,G,7,1.205920993574385,0.2256236729231732,0.7772361886900447,minor,g,E-,major,0.7152657940577742,E- major
5531,188,8,imitation_chain,2355.0,371.0,62.5795129912394,57.9298307387202,62.7187384768356,58.4286487777879,55.0700023581373,"0.962562358276644,0.407482993197279,0.847437641723356,0.384739229024943,1.25947845804989",0.8419464161402457,Major,D#,3,1.5019993553362878,0.2554642500201058,0.8406826813108614,major,D#,E-,major,0.7748637128930929,E- major
5893,188,9,imitation_chain,2564.0,398.0,62.518160094302,57.4945083670092,62.424220606319,57.4886916572413,55.7382732713292,"0.893696145124717,0.396371882086168,0.854467120181406,0.395986394557823,0.763764172335601",0.4151948688257664,Major,G#,8,1.3808058493638584,0.2068589005935251,0.3971465575450393,major,G#,D,major,0.3285404624805198,D major
6503,188,10,imitation_chain,2672.0,438.0,62.3785261171888,57.133576280754,62.4805434173747,57.3524443103484,54.9141151966662,"0.939160997732426,0.545600907029478,0.904897959183674,0.580272108843538,1.29424036281179",0.8083621895151272,Major,D,2,1.1453402809022968,0.1969334760352216,0.8096680904528609,major,D,D,minor,0.7102775638248875,D minor
6630,188,11,imitation_chain,2919.0,446.0,62.2744256455191,57.8056205403014,62.1069585879677,57.3946863827356,56.1011868660833,"0.939773242630385,0.465442176870748,0.824081632653062,0.464603174603175,1.07551020408163",0.5381100854542417,Major,D,2,1.0081390168682385,0.2576417231245949,0.5572370798902196,major,D,G,minor,0.49268723330453273,G minor
1924,189,1,imitation_chain,189.0,114.0,46.7989898903619,50.5067463551706,43.0255226699541,48.3997241892705,52.6683815069397,"0.966190476190476,0.335714285714286,0.808480725623583,0.276349206349206,0.498049886621315",0.38338735279334,Major,G,7,1.0613710676664772,0.1416321586656224,0.3909486676458731,major,F,C,minor,0.6644474525089173,C minor
2580,189,2,imitation_chain,1088.0,144.0,59.4482471782386,63.3506140008344,55.507967412716,56.3347973734894,64.0007063661253,"1.11775510204082,0.340340136054422,0.868208616780045,0.349637188208617,0.352199546485261",0.8537887811556462,Minor,G#,8,1.1108949939141082,0.250475867690171,0.833159745058222,minor,g#,E,major,0.6793733295414777,E major
3367,189,3,imitation_chain,1348.0,203.0,46.9179773373311,49.857607152982,43.2254676943724,45.2924823502944,50.6396646103322,"1.1965306122449,1.04913832199547,0.924036281179138,1.09362811791383,0.922879818594105",0.5141973113876931,Major,G,7,1.2608720622587295,0.1602236456154862,0.46258927822892,major,G,G,major,0.6821250585775687,G major
3705,189,4,imitation_chain,1661.0,252.0,59.2235565127914,62.7680438742837,55.0347932115367,58.7119412245157,62.8053536288583,"0.680340136054422,0.60514739229025,0.931836734693878,0.523242630385488,0.432312925170067",0.4550265472255791,Major,D#,3,1.0689103401967663,0.1412922751056815,0.4732457857407037,major,D#,G#,minor,0.4738339673038336,G# minor
3879,189,5,imitation_chain,1767.0,262.0,56.5287643446771,61.1099059041747,54.4876149798725,53.8755554536327,59.5066930228548,"0.977414965986395,0.973832199546485,0.994240362811791,0.79843537414966,0.754512471655328",0.6255110795588288,Minor,F#,6,1.7312855318616658,0.2938354678854884,0.597378750061186,minor,f#,F#,minor,0.5620013101374423,F# minor
3997,189,6,imitation_chain,1830.0,269.0,45.5856900801446,54.4775311838606,43.156486333106,46.1306675745538,49.8279010162962,"0.644149659863946,0.82172335600907,0.925351473922903,0.41360544217687,0.669750566893424",0.8766740746207935,Minor,G,7,1.5110504182589752,0.2519364269744383,0.8510877684421649,minor,g,G,minor,0.5556435283896309,G minor
4614,189,7,imitation_chain,1893.0,319.0,58.2688840850452,66.3939430807809,54.5893362093885,55.9997440398054,58.5613216622473,"0.753945578231292,0.687142857142857,0.752743764172336,0.430725623582767,0.777210884353741",0.4642233931785919,Minor,G,7,1.0428367792562807,0.1730112524130975,0.4656829472329032,minor,b,F#,major,0.4611403815725352,F# major
6032,189,8,imitation_chain,2118.0,402.0,58.368176818685,65.9036367035622,54.0550980204912,56.3480603727795,58.2283279888482,"0.73015873015873,0.748866213151928,0.682448979591837,0.384104308390023,0.972380952380952",0.6187074388041495,Minor,A#,10,1.0226828152214282,0.2025771153958917,0.6224338094188425,minor,a#,E-,minor,0.667387371297506,E- minor
6439,189,9,imitation_chain,2734.0,432.0,58.1971617363421,65.8287165306303,54.2944672197323,56.2831138111243,58.3640819201751,"0.638412698412698,0.698049886621315,0.64875283446712,0.315102040816326,0.800022675736962",0.6187074388041495,Minor,A#,10,1.0226828152214282,0.2025771153958917,0.6224338094188425,minor,a#,E-,minor,0.667387371297506,E- minor
6501,189,10,imitation_chain,2891.0,438.0,58.1762217350458,65.2687356553639,53.1250913409415,56.5106142121193,58.3502005728868,"0.695487528344671,0.766825396825397,0.624807256235827,0.337959183673469,1.07655328798186",0.8208879439546677,Major,A#,10,1.113303197911716,0.2139698321460422,0.8215889182772522,major,A#,B-,major,0.575716835067365,B- major
6816,189,11,imitation_chain,2915.0,451.0,58.3161141446448,65.3279257766853,62.6052119745246,53.6925528646592,57.8187289789483,"0.580521541950114,0.640657596371882,0.709138321995465,0.286122448979592,0.972562358276645",0.7387034156012589,Major,A#,10,1.062711808134832,0.1897475806091577,0.7406289611163107,major,A#,E-,minor,0.8100147254517488,E- minor
